"""Ano de Lançamento""";"""Certificado de Produto Brasileiro (CPB)""";"""Título""";"""Direção""";"""Gênero""";"""Empresa Produtora Brasileira Majoritária""";"""UF""";"""Empresa Produtora Minoritária Brasileira""";"""UF""";"""Distribuidora""";"""Máximo de Salas""";"""Renda (R$)""";"""Público """
"""1999""";"""B0400064000000""";"""Tiradentes""";"""Oswaldo Caldeira""";"""Ficção""";"""Oswaldo Caldeira Produções Cinematográficas/RioFilme""";"""RJ/RJ""";""" -""";""" -""";"""RioFilme""";"""3""";"""34253""";"""7489"""
"""1999""";"""B0500310200000""";"""Um Copo de Cólera""";"""Aluizio Abranches""";"""Ficção""";"""Tambellini Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""7""";"""309094""";"""58337"""
"""1999""";"""B0800854000000""";"""Uma Aventura do Zico""";"""Antonio Carlos da Fontoura""";"""Ficção""";"""Filmes do Equador/Quanta-Rio""";"""RJ/RJ""";""" -""";""" -""";"""Lumière""";"""60""";"""158373""";"""36727"""
"""1999""";"""B0500186500000""";"""Xuxa Requebra""";"""Tizuka Yamasaki""";"""Ficção""";"""Diler & Associados""";"""RJ""";""" -""";""" -""";"""Fox""";"""218""";"""8173376""";"""2074461"""
"""1999""";"""-""";"""Zoando na TV""";"""José Alvarenga Jr.""";"""Ficção""";"""Angélica Produções Artísticas/Globo Filmes//Lereby""";"""RJ""";""" -""";""" -""";"""Columbia""";"""143""";"""3463297""";"""911394"""
"""2000""";"""B0400065500000""";"""A Terceira Morte de Joaquim Bolivar""";"""Flávio Cândido""";"""Ficção""";"""Cândido&Moraes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""1""";"""11497""";"""2330"""
"""2000""";"""B0500309500000""";"""Amélia""";"""Ana Carolina""";"""Ficção""";"""Crystal Cinematográfica""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""6""";"""140283""";"""24431"""
"""2000""";"""B0600534900000""";"""Através da Janela""";"""Tata Amaral""";"""Ficção""";"""A.F. Cinema/Tangerina Entretenimento""";"""SP/SP""";""" -""";""" -""";"""RioFilme""";"""5""";"""53960""";"""10271"""
"""2000""";"""B0500386700000""";"""Bossa Nova""";"""Bruno Barreto""";"""Ficção""";"""Filmes do Equador/LC Barreto""";"""RJ/RJ""";""" -""";""" -""";"""Columbia""";"""158""";"""3165333""";"""520614"""
"""2000""";"""B0700686200000""";"""Cronicamente Inviável""";"""Sérgio Bianchi""";"""Ficção""";"""Agravo Produções Cinematográficas""";"""SP""";""" -""";""" -""";"""RioFilme""";"""6""";"""378287""";"""69443"""
"""2000""";"""B0500312500000""";"""Cruz e Sousa - o Poeta do Desterro""";"""Sylvio Back""";"""Ficção""";"""Usina de Kyno""";"""PR""";""" -""";""" -""";"""RioFilme""";"""2""";"""15510""";"""3608"""
"""2000""";"""B0500311600000""";"""Estorvo""";"""Ruy Guerra""";"""Ficção""";"""Skylight""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""4""";"""66325""";"""11532"""
"""2000""";"""B0500237200000""";"""Eu, tu, eles""";"""Andrucha Waddington""";"""Ficção""";"""Conspiração Filmes""";"""RJ""";""" -""";""" -""";"""Columbia""";"""132""";"""4111481""";"""695682"""
"""2000""";"""B0500363900000""";"""Gêmeas""";"""Andrucha Waddington""";"""Ficção""";"""Conspiração Filmes""";"""RJ""";""" -""";""" -""";"""Columbia""";"""18""";"""234781""";"""40368"""
"""2000""";"""B0600561200000""";"""Hans Staden""";"""Luiz Alberto Pereira""";"""Ficção""";"""Lapfilme""";"""SP""";""" -""";""" -""";"""RioFilme""";"""9""";"""238389""";"""46646"""
"""2000""";"""B0500310400000""";"""Iremos a Beirute""";"""Marcus Moura""";"""Ficção""";"""Estação Luz Filmes""";"""CE""";""" -""";""" -""";"""RioFilme""";"""3""";"""8751""";"""1639"""
"""2000""";"""B0500312100000""";"""Minha Vida em suas Mãos""";"""José Antônio Garcia""";"""Ficção""";"""Roderaf Produções Artísticas""";"""RJ""";""" -""";""" -""";"""Warner""";"""15""";"""45733""";"""10222"""
"""2000""";"""B0800875000000""";"""O Auto da Compadecida""";"""Guel Arraes""";"""Ficção""";"""Globo Filmes""";"""RJ""";""" -""";""" -""";"""Columbia""";"""199""";"""11496994""";"""2157166"""
"""2000""";"""B0500309400000""";"""O Dia da Caça""";"""Alberto Graça""";"""Ficção""";"""Mpc Filmes""";"""RJ""";""" -""";""" -""";"""UIP/RioFilme""";"""50""";"""239708""";"""43531"""
"""2000""";"""B0500310600000""";"""O Rap do Pequeno Príncipe Contra as Almas Sebosas""";"""Marcelo Luna/Paulo Caldas""";"""Documentário""";"""Raccord Produções""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""9""";"""73489""";"""22577"""
